id,name
8012,黄晓君
770005,张萱
13227424,Kerjo & Jimkay
1181405,Tokyo 7th シスターズ
16038,Arianne
13776046,Naresh Vayas
12448053,Choeuncha Choir
14670,かいりきベア
13579268,Kamal Aziz
45855,Will Downing
13837,逢川まさき
860945,Unlike Pluto
13840467,Vinod Nayak
135644,Ustad Rashid Khan
7235,陈慧琳
127964,Urban Corner
13838696,Nagsen Barua
1049179,Hanser
59722,Hil St. Soul
954389,Judith de los Santos
8338,刘亦菲
1137120,Reom
12312498,Zone D' Tambora
13775070,Ashok Pandey
126819,Guckkasten
3123,黄国俊
7775,高以爱
1050708,星光社
816458,Namolla Family N
10561,张靓颖
13226906,Rancho Folclórico de Valdreu Vila Verde
95435,Lube
30023,Chuck Brown
1038002,O.T. Genasis
981167,Rolla Sparks
11859,核子可乐
12279349,果果乐队
13222320,南方晶晶
4704,欧阳清风
1084306,Kiske / Somerville
2422,阿鲲
1050293,Antrux
84902,Yomo Toro
13497276,TORDED
16728,清田愛未
15489,Sam Ock
13498706,Faii Apapat
20046,木箱
126406,Bella
12468017,Finn
16416,宏実
1054171,古賀大路
16877,KANAN
1137126,MYTH & ROID
9278,宋祖英
9458,苏丹
7907,何洁
70839,Pat C.
56819,Foxy Brown
20337,locofrank
1044031,MC腐朽
13486251,Ülkü Eyüpoğulları
11712,国王
13485093,Cat Paw
956026,XVII
128198,9th STREET
45570,Ultimatium
75001,Sevara Nazarkhan
128100,YERY Band
12279893,UrboyTJ
13227330,Gul Nawaz Wali
1029014,ATP
129331,Kumar Sanu
127358,Namolla Family TKO
1074085,Waysons
13134224,Fareeq El Ahlam
162092,VELVET PΛW
43515,Sbazzo
1019603,Tarin
13582301,Johnatan El Elegido
850026,旋转保龄
9250,任桂珍
12155230,Discopraise
19309,encounter+
16612,岩崎宏美
12260305,K. Flower
18841,borderless
13707529,IL CANTO
1192380,Happiness In Violence
5354,伍佰
15584,高田渡
1195003,古再丽
1132607,Hitimpulse
13431216,Camron Starbwoy
10410,姚婷
1181125,Green Ausadaporn
1081182,Nathan Brumley
93196,Gotthard
20345,Lc5
1181168,XO
1086094,Wonder-K
6497,周国贤
18773,Bon Voyage
58577,Gia Farrell
123340,成真焕
792889,Toymela
13775172,Mithilesh Rashiya
12001,杰森来了
105544,White Rain
1038424,cloudy 
12577147,感性游乐园
978110,五木あきら
1047064,KBShinya
30674,Claude Garden
13486267,Le Tesh
74648,Scissor Sisters
12441323,Pilgrim Mission Choir
12074767,Pancho Purcell & His Bambuco Players
13581205,WOOGIE
41611,Petri Alanko
17940,外川阳子
6090,杨瑞代
1049903,智珉
13045153,Tarun - Ranjit
124282,刘世允
912021,Hailey Rowe
89578,Club des Belugas
725093,Will Sparks
3585,蒋勋
901029,Ookay
14100477,อ๊อฟ ศุภณัฐ
125021,尹书镇
84840,小野洋子
764058,Tokyo Gore Police
12409106,合田絵利
46095,Wretch 32
11558,反光镜
33930,Gary Barlow
1053183,Susugar
12251199,Angkasa 
747137,Jocey
1054006,井内ひろし
13449,野仔
63658,Kyler England
4573,Masta Mic
53313,Deva Premal
1085055,bahadir
12074201,E Ray
1039543,DjCore
31198,Depeche Mode
19454,Frontier彩
896462,Toheart
1132930,Sereno
124230,Lee-Nu
12526048,Pixx
961254,Jeff Russo
1039975,Jiessie Zhang
162136,KISAKI
961380,Naxxos
22486,和风&摇篮
896043,Plastic
18145,若山かずさ
126644,Devil Mouth
21889,The SHIGOTONIN
11752,goldEN
126785,Fois
127159,Monni
20859,中村由真
21064,Paradise Eve
16017,青山テルマ
160102,小玉和文
74757,Snatam Kaur
83517,Vanessa Carlton
12095186,郑伊
127651,悲哀传说
123412,Dabang Band
712038,달빛요정역전만루홈런
12740134,Elis M. Feeling
1047124,The August Empire
8345,李丽芬
31193,David Bowie
996588,Ida Lafontaine
9102,彭佳慧
127531,Rabbit Boy
13431169,Mary Anne
12451076,Un-Jami
12087026,Balagan Limited 
9607,王筝
123468,Dr.Simpson
774399,Melody Day
125251,赤雨
59280,Hannah Georgas
1164001,KEEL
3088,黄家伟
17243,松枝賀子
13431335,Kanak Chapa
1049885,Yellow Blues
74681,Sofia Jannok
355510,Nielson
160069,yusukeP
106265,pSyk
28610,Alex C.
857277,papersyndrome
124170,Loptimist
1081917,Ghayrat Mahmut
105563,Wassermanns Fiebertraum
42968,Shinedown
92857,Fabrika
1195047,大卫
7062,aniDa
14549,小山刚志
43647,Stewart Mac
126762,Fly To The Sky
1019699,权仁河
126969,Instant Romantic Floor
13484076,Q-Dii
12526374,Tóth Evelin
13581238,GR Flam
12055,咖啡因乐队
127516,Rhyme Bus
1081056,赵丽颖
14474,白鳥健次
1187051,Somkiat
1098052,Indra Rios-Moore 
712168,AKLO
16908,北口和沙
743001,Sinan Akcil
1043475,柯泯薰
21703,猿岩石
1080091,ZEN
126959,Ironic Hue
46505,Anna Ternheim
12202501,Güzide Kasacı
158429,Kaya
1094342,福原綾香
1063199,人彘
13971119,卜冠今
1181352,노현희
866090,昭宥
12492742,A-CO
13228790,Sejal Sadhu
21045,Piano Master
15472,酒井ミキオ
84958,Yattering
63655,Krayzie Bone
159663,Night Hawks
1080063,Audiosoldier
957049,Vijay Antony
677003,SpeXial
12046884,JOA
160172,Visui
33847,George Harrison
13487090,Fritz & Page
1039401,Untamed
858132,Galavant
865175,颜培珊
881047,Elyar Fox
979045,Nikki Phillippi
125796,Nana Strange
16863,桂银淑
12679,Rustic
30750,Cristian Castro
85518,Amorphis
961182,方少珊
12015,江苏省歌舞团民族乐队
747093,Tommy K
5904,小植
13928,朝倉紀行
12865,Silverbus
92343,Electric Guest
126024,The Hayan
13738082,Ghazal Anjum
12054277,GHEART
13840503,สวรรค์ทอง ชัยสมบัติ
88436,Veter Vody
12238012,鳥部万里子
104788,Van Canto
13499277,Juan Portella
106328,Shivoham
11050,AM444
831351,Minh Tuyet
52938,Cady Groves
783163,Hope组合
1081813,宝亀克寿
4794,曲佑良
13499737,Pingyang Pichayanont
103498,The Bottom Blues
16029,秋山奈奈
12087135,DJ Joy
13285024,NamelessTag無名標籤
1919,AP满人
11996214,Kali
12096304,N.P.E.自由引力
60048,Hariharan
5397,吴浩康
126013,Terem Quartet
142062,Iona Brown
957160,Rhyzz
14101293,Mithalesh Muskan
10107,解伟苓
20786,中ノ森BAND
1084247,Richard Caddock
18211,より子
977023,狂想三重奏
13487082,蔡可欣
1061001,French Knot
909029,白举纲
126801,Garina Project
126817,Grape
8299,况明洁
7946,黄绮珊
13222621,Vista Eternity
852290,大空直美
13473499,רוני פרי
126178,郑恩珠
19499,firephlex productions
84178,Wamdue Project
12263213,Julian & Tinitus
12230066,Overflow
544414,M.A.J
12301342,若林タカツグ
1137062,Mystic Puzzle
12843953,Acharya Lakhan
96864,Madcon
105144,Whiplash
104763,Vetusta Morla
5771,许嵩
275494,茜拉
6491,郑伊健
13228497,Lagum
125473,金润雅
123214,Andreas Leclaire
17030,持田香織
1049889,凯歌
125931,Sweet Revenge
59247,Hawthorne Heights
1021020,Roydo
19664,GASETSU
188612,Code V
100014,Steelheart
14108,古川雄大
124248,柳熙烈
11998,惊叫基督
41216,Pat Metheny Group
7557,丁菲飞
46547,Anne-Sophie Mutter
92006,Eskimo Callboy
1120045,8 Dawn Music 
13778056,Ganga Ram Jha
12773161,If
820225,Bong Gu
11944,imade
12467218,NUKAY
12505949,歌梅拉组合
56730,Elen Levon
13431224,Nura M. Inuwa
13485230,Videsh Thakor
1044036,Kael 鹿帆
85036,Yggdrasil
72673,Quasimoto
725038,Kazuma Fujimoto
15144,小沼ようすけ
13227444,A. K. Jatti
1180117,邱翠雯
34994,Hardwell
13429257,Sohan Sharma
106655,Neno
990252,俄罗斯军乐团
606253,西村宜隆
1081483,Robot-Boy
1160155,蜉蝣目美丽昆虫
1060093,Keyshawn Binean
12632,七号青
127012,Jayesslee
9656,韦绮姗
89913,Caitlyn
1039313,Bunny
12402041,辻静香
124087,Kamaal
2137,蔡小虎
894035,britneylee小暖
17049,村治佳織
12074840,OTHANKQ
1039722,阿明
686007,潘寅林
2735,EazyToo
37531,Kid Rock
50896,Camera Obscura
1011189,UN1组合
12475448,Y.N.E
94638,Indians
12468269,WhiteUsedSocks
7110,艾莉莎
125219,Big Baby Driver
1181836,吴艺琳
99938,Reflex
12214106,QUELL
12162,另类音乐人
1132160,Xandl
8374,刘紫玲
13580285,Giada Capraro
840505,Chi Dan
1016028,权顺日
14201,森江博
1089133,殷河秀
13499095,NV
860958,子曰秋野
141938,Wolfpack
12355180,Zak & Diego
7876,高晨薇
13540,月之门
125374,河莉秀
9149,潘娥青
83081,Tiggy
1102268,吾酷
12154148,qujaku
41983,Rush of Fools
19289,eLEQUTE
159042,Lotte Girls
126791,Glen Check
106091,Bhavani Shankar
39356,Max Steiner
126410,BbAhn
711251,Afrodino
190030,齐晨君
13705068,Rüstem Çıtak
72517,Primal Instinct
93785,Husky Rescue
57960,Gemma Hayes
19116,D'espairsray
15977,ゼブラ
1124052,朴海镇
7914,黄乙玲
13776042,Pirthibi Raj
106948,Taken by Cars
88492,Banaroo
10096,谢容儿
13226197,Arindam Goswami
1192515,盛一伦
48749,Big Maybelle
12073678,Unee
124820,슈베르탱베르베르
11513,Echo
1084021,KH
9338,孙淑媚
13431138,Keema Kay
45574,Us3
70307,Olivia Broadfield
1184081,Ting
22436,Yellow-Zebra
124434,Newyork Love Diry
13595,中国娃娃
12132071,南表妹
13013124,Natalie
35062,If These Trees Could Talk
820497,Royal Pirates
78290,Tommy Shane Steiner
13044254,GAC (Gamaliél Audrey Cantika)
160819,COOL JOKE
985051,Nil Özalp
93782,Hammock
124479,朴明秀
29960,Chris Brown
13227427,Baran Yılmaz
1081079,Solar
12311165,Taraf Dékalé
13778239,K.S. Chithra
12412102,丸塚香奈
912037,Kaylee Johnston
22197,uBuGoe
935196,Lookas
1102011,阿尔法
19420,face to ace
13775093,Owari.
59083,Gente De Zona
127143,Mighty Mouth
66212,Lana Del Rey
1185064,陈麦麒
71046,Patsy Cline
2202,陈其钢
9774,王蓝茵
3650,银色夏生
1046487,bq就是BQ
716002,钟铉
10559,张惠妹
16412,広末凉子
123574,Born Kim
18652,ALL THAT JAZZ
123418,DK
50902,Cyndi Lauper
46115,Will Samson
125525,吉健
1078040,高尚智
12475698,ONE
1060120,Caleb and Kelsey
13128265,Kamelneo
16267,大杉久美子
14100383,Flamur Berisha
3536,金培达
106205,Kohib
14242,星野源
13839313,Vishwkarma Vishal
956432,Meet Brothers Anjjan
60865,Inna Modja
18619,Arte Refact
1021160,烟把儿
92582,Freshlyground
1060113,Sleeq
908003, じょん
10580,郑融
13485162,"Krumm & Schief, Leon Wolf"
28500,Alex Fox
1155025,Faxo
93469,G-Swing
1187003,Unknown Dress
11991190,Okym Riim
1081748,KIYOIII
124121,赵文根
1063157,Jamong
159773,Kaede Mira
106520,Natacha Atlas
13222706,Elfenberg
13227423,Trill​ ​Regulation​
123439,DJ Wegun
8997,慕容晓晓
15134,大泽誉志幸
13582235,OZMO
99991,Snow Patrol
13024274,Tart
789470,孙东云
35337,Jimi Hendrix
2766,方顺吉
1165027,清水永之
22257,VANESSA
1106042,DJ Nightwalker
1088005,Quique Tejada
1041058,kippi's
13839026,Chunnu Lal Yadav
84771,Wolf Larsen
95438,Libera
145378,Quenum
783150,MØ
2887,高向鹏
816496,Grandtheft
124837,The Quiett
21117,Q;indivi
7597,邓芷茵
14101196,ส้ม พฤกษา
12468037,Good Man!
160347,Zico
50328,Betty Hutton
159201,Nuage
1160145,PopDan
1120031,泡沫
740216,Sam Smith
13827,A.B.C-Z
7824,郭书瑶
6015,小骆驼
190494,邱胜翊
60936,Janis Joplin
56786,Fountains of Wayne
1151002,陈明憙Jocelyn
12309184,OVAN
74633,Slayer
19559,幽灵
1124300,聂子轩
35352,James Brown
106990,ZedBazi
57966,Godsmack
12274439,秋田慎治
11303,楚奇楚童
900082,AOORA
792664,王大痣
17066,観月ありさ
226739,Ben Cocks
13582137,Krishan Kharalyia
106975,Warsi Brothers
31910,Daniel Doss Band
19397,福耳
1047178,吴业坤
844974,果宝酱JAM
14440,河野伸
99982,RAZ
1043172,民间说唱票友艺术团
83288,Unsun
125837,朴美京
14198,HAZZY
84854,Yulara
13778,A-bee
12927034,Kahtalı Osman Ulaş
16817,栗山千明
13777,Ametsub
725483,YURI*KARI
1156244,Kenji Sekiguchi
13896,amyu
1049787,老式照相机
12902095,A Girl Playing A Piano
90186,Creamface
13222863,Pop & Cars
127907,The Freaks
106576,Света Светикова
74584,RaeLynn
160963,FLYING KIDS
72609,Pascal Rogé
860312,STYLE FIVE
1079085,Orange Marmalade
14770,美川宪一
14099671,朴礼周
72743,Rosemary Clooney
1060115,Tycoon
1178060,nowisee
84823,X-Raided
160700,Music Box
353233,Pedro Bromfman
1176031,Hamagapouch
713094,Eric Nam
13012,唐茄弄
12096305,FolkSpoon
160179,オレンジ☆プランクトン
12416026,WonGong剧团
53101,索格狄安娜
5408,吴卓羲
12449042,Noel Choir
84838,Yvonne Catterfeld
40900,Others
961075,赵泳鑫
768166,Hunter x Hunter
125993,草莓馅饼
12311552,纳格雨轩
12278113,Boom 13
687028,阿龙
92453,Fun.
19907,Innocent
8515,李傲梅
1027046,巧千金
13222165,El Niño Josele
13059955,HunnyHunna
38152,Lobo
17247,Me
844817,Hiroki Nagamine
19282,エイジア エンジニア
725048,MUST DIE!
14267,百石元
8055,韩小薰
2544,Dick Lee
126138,尹珍
956136,米娜&NIKITA
12096302,민선정
93627,Gold Fields
1050518,ILLENIUM
125428,Heyum
847129,Hucci x Stooki Sound
1021072,Re-SKA
70855,Peaches
12533444,Jinia
7298,陈晓琪
9256,饶燕婷
1054105,蒙古利亚组合
56867,Focus
13482,隐患
14732,雅-MIYAVI-
11447,Delay
11308,草原兄妹
161348,奥華子
12636,企鹅
74620,Sarah McLachlan
84806,XBXRX
804353,上野優華
12865010,TSLW
3158,荒山亮
8320,葛仲珊
1050405,F1y Syn
29992,Carter Burwell
3596,金镇
12290092,Lagzi Lajcsi
12009037,OYAT
758019,Eptic
12132661,Fogg
787031,O!Gon
12492699,Double Remedy
12074341,Ellipse
16690,釘宮理恵
16717,麻里圭子
1137294,SUA
13500148,Tomato Baba
12132209,UW Worship
1168003,그네 
100022,Sleepmakeswaves
12213161,QUIÑ
95089,Jodymoon
60089,Höhner
1132167,KuRy颜酱
1027018,麋麋乐团
124875,TUNE
1181609,南浩平 a.k.a. сн∀ма
125420,韩智恩
84065,Weird Al Yankovic
2720,贰贝勒·木森 (J-Forest)
1047241,千草仙
1122129,金惠利
13497415,Karma Ropar Wala
40436,Norther
13839324,Laarbi Lhdaj
13838428,Toni Churiyala
48211,Alexandra Stan
4214,龙飞
11614,疯医
37525,Keith Urban
189347,CRITTY
12525050,Tanya
9096,欧阳铭芮
123398,盛骏
14739,森川智之
70326,Oleander
72740,Robin Spielberg
12389070,幡宮かのこ
12279737,Fayruz
13222574,Vinny Rockabilly Trio
13896240,Uncle K
12796053,GoodBGM
896711,Pinkie
832023,Emiri Ota
84057,Wham!
11959,假音人
22312,weekenders
62631,Julie Peel
17037,まきちゃんぐ
14056031,Mürsel Ataman
1054041,Epicker
12107336,Sqweez Animal 
18353,A9
5963,小皮
125725,闵雪
105073,Volumes
124130,罗润权
124633,Red Face
21937,東京女子流
13485218,R.I.M.A
818669,N-White
128091,X-MAN
12301214,Karlien Van Jaarsveld
127423,PIA
98481,Odd Future
13431142,Daniel Kuciak
69407,Nick Cannon
1050154,奥慶一
2721,eclove23
14087,EvisBeats
4661,倪敏然&倪嘉升
1073008,Alfred Beach Sandal
12422013,Xpand
17642,Suara
105618,X-Ray Dog
849044,菊池一仁
4492,马念先
1047238,白挺
155810,Maranatha! Christmas
9292,孙露
12474602,Timo Kim
15602,高橋直純
15947,ゆう十
13158050,Omar Lopez El Compa DTN y Sus Liras Doradas
106875,Peter Cat Recording Co.
138798,Bertie Higgins
1185082,洪乐团
50038,Bess Rogers
13222292,Sercan Bozkuş
62194,Juicy J
10473,袁娅维
12186,龙神道
1043467,Ryusei Yamato 
63164,Kurupt
791062,光合作用
12560573,权赫敏
12122116,Aests
15213,大谷和夫
9752,王澜霏
46229,Yung Joc
1188101,Section Boyz
658169,His Orchestra
13228566,July Project
13498191,P.B.CH.
13429315,Purva
13222786,Terra Cabula
13226998,Odcult
234856,钱惠丽
861410,TooPhat
19455,Falcom Sound Team jdk
88473,Black Veil Brides
2786,范睿
13499794,Iólass
934041,寇跃
1042012,井上剛
12532129,东新教会联合唱诗班
43844,Soulostar
13059917,Uriel Rojas
85246,Zena
60222,Harland
95133,Justice Crew
37624,Kitti Kuremanee
11971079,Yes'sir Days
19937,IZMIZM
12131062,ehh
12910019,Lee Panu
13971100,Gürkan Demirez
672003,2YOON
7553,戴辛尉
126590,DNT
98189,Ougenweide
1046036,口琴ok
125340,Daen
22493,ZUCK
827575,Vitodito
106704,CODA
11987029,Keiko Yoshimura
55454,Dia Frampton
12323297,Kid Climb
12095201,Hoony和大力士
20978,PAMELAH
12648,棋盘上的空格
3073,黄凯芹
78231,Tina Turner
21090,PHONO TONES
1115186,Chilling Sunday
42480,Rasmus Faber
13498460,Essadik et Soukaina
1047078,江南诚
12334185,Everson Silva
12278216,伊霖
3718,刘文正
99217,Piknik
12107740,玄德之音
127435,Pepper Mint
64250,Lucy Schwartz
792180,Turan
13157066,Jaffary
908159,ᴛaikon.
8308,kayi大头佳
1085015,Mook Worranit
104852,Vive la Fête
979033,门虫乐队
852083,ESIE
12095338,서태경
758309,郭润灿
1058011,Starix​
55573,Elysian Fields
38144,Lemar
12399113,KINDA
16457,Hanah
123309,成基万
8971,Mida
61167,Jim Croce
13222798,Viento Wixarika
11566,浮世绘
1120063,Keith Ape
911111,Nate Green
12535023,Quincy Jones & His Orchestra
52062,Cherokee
46303,Zbigniew Preisner
208915,Krewella
7242,常静
13932,C.G mix
211838,Mark Pride
13042255,Ibrahim Jaan
861008,篠原敬介
13581029,Brenno & Matheus
17212,三石琴乃
12131554,Telex Telexs
13487,音乐铁人
896843,朴秀珍
83293,Ultra Vivid Scene
12457069,Knock
12053037,如来不来
10013,晓丹
105747,Yppah
168015,褚乔
12023174,PLAN-S
14222,林田健司
1141009,岑日珈
1122120,Owen Ovadoz
905114,Zuse
13579332,Not Informed
12463083,Krystal Heart
39877,Murat Nasyrov
13227888,Dk Rdx
1164045,曾咏欣
124504,Pastel Shade
13567074,Ekrem Çelebi
20725,MONACA
820466,ESTA.
12262577,in the blue shirt
60623,Indigo Swing
11975,J.A.M
19558,globe
27623,ATB
15981,monaca:factory
1032407,囚牛的方舟
53250,Dark Moor
125753,孟尤娜
189873,南征北战
7822,贡维特
85276,Zombie Girl
9056,Nana
1063065,SO YUMI
1169001,ACE
13163344,麻浦区猫咪
189831,Nencol 
13296,小松小柏
1047276,CK沉珂
12555,星球地图
930018,ESQUARIA
1177231,Yoon Ddan Ddan
7308,陈红
12505010,wan9u
13973452,Angeles TKM
22248,VIRGENOW
3665,Orientlic Beats
12047977,Nirwana Band
1031096,AKZ
1156176,孟可
14452,小室哲哉
1187018,Vertical Mind
16112,青葉りんご
84131,WhoMadeWho
13464101,The Mandators
27622,Andrew Lloyd Webber
7565,刀妹
34521,Holly Cole
818583,Una 
10579,赵咏华
12424114,Nuage Cafe
13486156,The Everly Brothers with The Boys Town Choir
3459,姜玉阳
12080,扣弦
1876,阿杜
16101,Angelina
19957,imagesDawn
7664,方文琳
12462024,In The Party
1106089,REI泠千夜
14975,七尾旅人
12227,重庆孩子
12474782,rheehab the rehab
22188,UNCHAIN
1002028,ZAPPA
9483,shelly佳
1039896,Rachel Chang
89692,Craig Owen and Greg Scot
12142153,Uhnee
127063,K-mon
1135128,이펙터
13775056,Sunil Chhaila
1070033,KIRIKO/HIKO sound
1190082,焚吐
125218,Boni
13486223,Mary-Helen Nezi
46175,XX Teens
1183051,阿礼
13173,V
12440408,VANDAL
13045084,Chirag Sahni
1132739,FroZenUniverse
126031,UNee
126550,CHI-CHI
12176327,DASONA
41980,Raimond Lap
72480,Paula DeAnda
12263033,纳兰珠儿
12131337,Evan Call
44264,Thirteen Senses
1081496,Univz
